model,signal,bin_lo,bin_hi,bin_mid,bin_count,avg_predicted,avg_observed,bin_ece_contrib
Qwen,entropy_std_global,0.0,0.1,0.05,0,,,0.0
Qwen,entropy_std_global,0.1,0.2,0.15000000000000002,0,,,0.0
Qwen,entropy_std_global,0.2,0.30000000000000004,0.25,0,,,0.0
Qwen,entropy_std_global,0.30000000000000004,0.4,0.35000000000000003,0,,,0.0
Qwen,entropy_std_global,0.4,0.5,0.45,0,,,0.0
Qwen,entropy_std_global,0.5,0.6000000000000001,0.55,2,0.544943309591718,1.0,0.004550566904082821
Qwen,entropy_std_global,0.6000000000000001,0.7000000000000001,0.6500000000000001,40,0.6666611382149336,0.125,0.10833222764298672
Qwen,entropy_std_global,0.7000000000000001,0.8,0.75,67,0.7389130004490488,0.14925373134328357,0.19753585515043137
Qwen,entropy_std_global,0.8,0.9,0.8500000000000001,31,0.85059622458962,0.7419354838709677,0.016842414811391104
Qwen,entropy_std_global,0.9,1.0,0.95,60,0.9769431740971968,1.0,0.006917047770840967
Mistral,entropy_global,0.0,0.1,0.05,0,,,0.0
Mistral,entropy_global,0.1,0.2,0.15000000000000002,0,,,0.0
Mistral,entropy_global,0.2,0.30000000000000004,0.25,0,,,0.0
Mistral,entropy_global,0.30000000000000004,0.4,0.35000000000000003,6,0.38214881783672894,0.0,0.011464464535101868
Mistral,entropy_global,0.4,0.5,0.45,19,0.4562464429110186,0.10526315789473684,0.03334341207654677
Mistral,entropy_global,0.5,0.6000000000000001,0.55,46,0.5455249432588302,0.15217391304347827,0.09047073694953094
Mistral,entropy_global,0.6000000000000001,0.7000000000000001,0.6500000000000001,43,0.645408564484005,0.27906976744186046,0.07876284136406107
Mistral,entropy_global,0.7000000000000001,0.8,0.75,35,0.750321263415652,0.8285714285714286,0.013693778902260914
Mistral,entropy_global,0.8,0.9,0.8500000000000001,29,0.8532333682326898,0.9655172413793104,0.016281161606259982
Mistral,entropy_global,0.9,1.0,0.95,22,0.9405368190239417,1.0,0.006540949907366413
Mistral,entropy_per_model,0.0,0.1,0.05,8,0.05307217317425486,0.0,0.0021228869269701947
Mistral,entropy_per_model,0.1,0.2,0.15000000000000002,15,0.16123181001809261,0.13333333333333333,0.0020923857513569463
Mistral,entropy_per_model,0.2,0.30000000000000004,0.25,24,0.25712687911285254,0.20833333333333334,0.005855225493542303
Mistral,entropy_per_model,0.30000000000000004,0.4,0.35000000000000003,28,0.3471197323085412,0.10714285714285714,0.033596762523195774
Mistral,entropy_per_model,0.4,0.5,0.45,30,0.44952136336752496,0.3,0.022428204505128745
Mistral,entropy_per_model,0.5,0.6000000000000001,0.55,24,0.5540240923726748,0.5,0.006482891084720976
Mistral,entropy_per_model,0.6000000000000001,0.7000000000000001,0.6500000000000001,19,0.6677351665965309,0.9473684210526315,0.026565159173329564
Mistral,entropy_per_model,0.7000000000000001,0.8,0.75,16,0.7499048382031397,0.9375,0.015007612943748826
Mistral,entropy_per_model,0.8,0.9,0.8500000000000001,20,0.8476787605596353,1.0,0.015232123944036469
Mistral,entropy_per_model,0.9,1.0,0.95,16,0.9455978765272998,1.0,0.004352169877816019
Mistral,self_report_raw,0.0,0.1,0.05,96,0.009479166666666669,0.6041666666666666,0.2854499999999999
Mistral,self_report_raw,0.1,0.2,0.15000000000000002,10,0.137,0.8,0.033150000000000006
Mistral,self_report_raw,0.2,0.30000000000000004,0.25,6,0.245,0.8333333333333334,0.01765
Mistral,self_report_raw,0.30000000000000004,0.4,0.35000000000000003,1,0.31,0.0,0.00155
Mistral,self_report_raw,0.4,0.5,0.45,2,0.445,1.0,0.005549999999999999
Mistral,self_report_raw,0.5,0.6000000000000001,0.55,3,0.5333333333333333,0.6666666666666666,0.0019999999999999996
Mistral,self_report_raw,0.6000000000000001,0.7000000000000001,0.6500000000000001,1,0.63,1.0,0.00185
Mistral,self_report_raw,0.7000000000000001,0.8,0.75,1,0.75,1.0,0.00125
Mistral,self_report_raw,0.8,0.9,0.8500000000000001,2,0.8400000000000001,1.0,0.0015999999999999992
Mistral,self_report_raw,0.9,1.0,0.95,78,0.9987179487179488,0.2692307692307692,0.28450000000000003
Mistral,self_report_inverted,0.0,0.1,0.05,78,0.0012820512820512818,0.2692307692307692,0.1045
Mistral,self_report_inverted,0.1,0.2,0.15000000000000002,2,0.15999999999999998,1.0,0.008400000000000001
Mistral,self_report_inverted,0.2,0.30000000000000004,0.25,1,0.25,1.0,0.00375
Mistral,self_report_inverted,0.30000000000000004,0.4,0.35000000000000003,1,0.37,1.0,0.00315
Mistral,self_report_inverted,0.4,0.5,0.45,1,0.4,1.0,0.003
Mistral,self_report_inverted,0.5,0.6000000000000001,0.55,4,0.5275000000000001,0.75,0.004449999999999998
Mistral,self_report_inverted,0.6000000000000001,0.7000000000000001,0.6500000000000001,1,0.69,0.0,0.00345
Mistral,self_report_inverted,0.7000000000000001,0.8,0.75,5,0.7460000000000001,0.8,0.0013499999999999986
Mistral,self_report_inverted,0.8,0.9,0.8500000000000001,10,0.8530000000000001,0.8,0.0026500000000000026
Mistral,self_report_inverted,0.9,1.0,0.95,97,0.9895876288659793,0.6082474226804123,0.18494999999999998
Mistral,length_score,0.0,0.1,0.05,0,,,0.0
Mistral,length_score,0.1,0.2,0.15000000000000002,0,,,0.0
Mistral,length_score,0.2,0.30000000000000004,0.25,75,0.19999999999999996,0.7866666666666666,0.22
Mistral,length_score,0.30000000000000004,0.4,0.35000000000000003,0,,,0.0
Mistral,length_score,0.4,0.5,0.45,70,0.39999999999999986,0.14285714285714285,0.08999999999999994
Mistral,length_score,0.5,0.6000000000000001,0.55,54,0.5444444444444446,0.5555555555555556,0.0029999999999999597
Mistral,length_score,0.6000000000000001,0.7000000000000001,0.6500000000000001,0,,,0.0
Mistral,length_score,0.7000000000000001,0.8,0.75,0,,,0.0
Mistral,length_score,0.8,0.9,0.8500000000000001,1,0.8,1.0,0.0009999999999999998
Mistral,length_score,0.9,1.0,0.95,0,,,0.0
Mistral,max_entropy_global,0.0,0.1,0.05,0,,,0.0
Mistral,max_entropy_global,0.1,0.2,0.15000000000000002,0,,,0.0
Mistral,max_entropy_global,0.2,0.30000000000000004,0.25,0,,,0.0
Mistral,max_entropy_global,0.30000000000000004,0.4,0.35000000000000003,0,,,0.0
Mistral,max_entropy_global,0.4,0.5,0.45,4,0.46973626899909793,0.0,0.009394725379981959
Mistral,max_entropy_global,0.5,0.6000000000000001,0.55,22,0.5691873806186234,0.13636363636363635,0.047610611868048575
Mistral,max_entropy_global,0.6000000000000001,0.7000000000000001,0.6500000000000001,64,0.6520570324671233,0.21875,0.13865825038947946
Mistral,max_entropy_global,0.7000000000000001,0.8,0.75,49,0.7457113143511638,0.5102040816326531,0.05769927201603512
Mistral,max_entropy_global,0.8,0.9,0.8500000000000001,44,0.8506474267109443,0.9318181818181818,0.017857566123592246
Mistral,max_entropy_global,0.9,1.0,0.95,17,0.9400315445796456,1.0,0.005097318710730128
Mistral,entropy_std_global,0.0,0.1,0.05,0,,,0.0
Mistral,entropy_std_global,0.1,0.2,0.15000000000000002,0,,,0.0
Mistral,entropy_std_global,0.2,0.30000000000000004,0.25,0,,,0.0
Mistral,entropy_std_global,0.30000000000000004,0.4,0.35000000000000003,1,0.39325398433224434,0.0,0.001966269921661222
